date,Co21EmisFR,Co21EmisUK,Co22EmisFR,Co22EmisUK
2020-10-01 04:37:00,16.323999999999998,37.14671666666666,16.323999999999998,37.14671666666666
2020-10-01 04:38:00,16.112,28.944600000000005,16.112,28.944600000000005
2020-10-01 04:39:00,16.006,29.051880000000004,16.006,29.051880000000004
2020-10-01 04:40:00,15.899999999999999,29.1084,15.899999999999999,29.1084
2020-10-01 04:41:00,15.899999999999999,29.16494,15.899999999999999,29.16494
2020-10-01 04:42:00,15.793999999999999,29.1179777777778,15.793999999999999,29.1179777777778
2020-10-01 04:43:00,15.793999999999999,29.02957777777772,15.793999999999999,29.02957777777772
2020-10-01 04:44:00,15.688000000000002,29.035288888888832,15.688000000000002,29.035288888888832
2020-10-01 04:45:00,15.581999999999999,29.03535,15.581999999999999,29.03535
2020-10-01 04:46:00,15.6408,29.091920000000002,15.6408,29.091920000000002
2020-10-01 04:47:00,15.699599999999998,29.18430740740739,15.699599999999998,29.18430740740739
2020-10-01 04:48:00,15.6512,29.120319999999996,15.6512,29.120319999999996
2020-10-01 04:49:00,15.709599999999998,29.041226666666663,15.709599999999998,29.041226666666663
2020-10-01 04:50:00,20.736,29.013,20.736,29.013
2020-10-01 04:51:00,20.3792,29.0187,20.3792,29.0187
2020-10-01 04:52:00,20.3456,29.062118518518478,20.3456,29.062118518518478
2020-10-01 04:53:00,18.6732,29.064053333333334,18.6732,29.064053333333334
2020-10-01 04:54:00,15.563199999999998,29.3754,15.563199999999998,29.3754
2020-10-01 04:55:00,15.62,29.230203703703687,15.62,29.230203703703687
2020-10-01 04:56:00,20.6448,29.166106666666668,20.6448,29.166106666666668
2020-10-01 04:57:00,19.944,29.24167777777776,19.944,29.24167777777776
2020-10-01 04:58:00,20.016,29.14356666666667,20.016,29.14356666666667
2020-10-01 04:59:00,19.976399999999998,29.083185185185165,19.976399999999998,29.083185185185165
2020-10-01 05:00:00,19.936000000000003,29.325,19.936000000000003,29.325
2020-10-01 05:01:00,19.823999999999998,29.262736666666665,19.823999999999998,29.233170703888888
2020-10-01 05:02:00,19.712000000000003,29.319493333333334,19.712000000000003,29.260349815555553
2020-10-01 05:03:00,19.599999999999998,29.27609999999998,19.599999999999998,29.187367334999976
2020-10-01 05:04:00,19.488,29.29696,19.488,29.178626595555553
2020-10-01 05:05:00,19.040000000000003,29.26866666666666,19.040000000000003,29.12072093055555
2020-10-01 05:06:00,15.456000000000001,28.968039999999995,15.456000000000001,28.790470339999995
